State,Source,coef,intercept
State,MSN,0.99999999999999711,4.6017196439328537e-12
AK,Biomass,115.41818181817897,-222204.01818181251
AK,Coal,732.18181818180301,-1425341.381818152
AK,Ethenol,0.0,0.0
AK,Geothermal,0.0,0.0
AK,Hydropower,67.23636363636227,-128650.23636363367
AK,Natural Gas,3246.7939393938009,-6367009.5939391199
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,4684.0666666665147,-9137857.2666663677
AK,Solar,0.0,0.0
AK,Total Consumption,8644.8363636360555,-16886103.636363029
AK,Wood and Waste,115.41818181817897,-222204.01818181251
AK,Wind,0.0,0.0
AL,Biomass,866.59393939391452,-1654226.3939393447
AL,Coal,31077.587878787086,-60545615.387877233
AL,Ethenol,0.0,0.0
AL,Geothermal,0.0,0.0
AL,Hydropower,1294.8666666666138,-2466352.2666665628
AL,Natural Gas,13430.436363635963,-26146849.836362846
AL,Nuclear Energy,0.0,0.0
AL,Petroleum,10203.587878787535,-19777510.387878109
AL,Solar,0.0,0.0
AL,Total Consumption,57739.666666665027,-112244780.66666344
AL,Wood and Waste,866.59393939391452,-1654226.3939393447
AL,Wind,0.0,0.0
AR,Biomass,-391.1393939393862,803973.53939392406
AR,Coal,-27.757575757574944,54691.95757575598
AR,Ethenol,0.0,0.0
AR,Geothermal,0.0,0.0
AR,Hydropower,2044.4606060605458,-4001367.0606059418
AR,Natural Gas,13966.424242423818,-27163110.824241586
AR,Nuclear Energy,0.0,0.0
AR,Petroleum,8733.9454545451717,-16971355.345453985
AR,Solar,0.0,0.0
AR,Total Consumption,23934.793939393199,-46473194.19393792
AR,Wood and Waste,-391.1393939393862,803973.53939392406
AR,Wind,0.0,0.0
AZ,Biomass,40.321212121209591,-75238.121212116224
AZ,Coal,777.18787878786429,-1520550.3878787595
AZ,Ethenol,0.0,0.0
AZ,Geothermal,0.0,0.0
AZ,Hydropower,4071.1818181817093,-7954729.1818179656
AZ,Natural Gas,5338.9212121210257,-10316622.921211755
AZ,Nuclear Energy,0.0,0.0
AZ,Petroleum,8220.4303030300489,-15995154.230302533
AZ,Solar,0.0,0.0
AZ,Total Consumption,18488.363636363065,-35937532.963635243
AZ,Wood and Waste,40.321212121209591,-75238.121212116224
AZ,Wind,0.0,0.0
CA,Biomass,3586.1272727271644,-6947893.7272725152
CA,Coal,1817.9454545453962,-3519279.9454544308
CA,Ethenol,0.0,0.0
CA,Geothermal,551.02424242422285,-1080036.8242423856
CA,Hydropower,22355.339393938659,-43641633.139392503
CA,Natural Gas,105463.31515151232,-205397939.71514595
CA,Nuclear Energy,2378.8484848483927,-4666996.0484846663
CA,Petroleum,72581.551515149418,-140487567.55151102
CA,Solar,0.0,0.0
CA,Total Consumption,212320.27878787284,-412689240.67877609
CA,Wood and Waste,3586.1272727271644,-6947893.7272725152
CA,Wind,0.0,0.0
CO,Biomass,139.91515151514605,-267976.51515150437
CO,Coal,4790.6909090908121,-9317764.2909088992
CO,Ethenol,0.0,0.0
CO,Geothermal,0.0,0.0
CO,Hydropower,-11.8969696969697,33573.09696969697
CO,Natural Gas,6571.8727272724855,-12696591.672726797
CO,Nuclear Energy,0.0,0.0
CO,Petroleum,10693.575757575431,-20801034.775756933
CO,Solar,0.0,0.0
CO,Total Consumption,22324.072727272054,-43317770.672725946
CO,Wood and Waste,139.91515151514605,-267976.51515150437
CO,Wind,0.0,0.0
CT,Biomass,244.13939393938534,-465874.73939392244
CT,Coal,-3069.3333333331548,6137253.333332981
CT,Ethenol,0.0,0.0
CT,Geothermal,0.0,0.0
CT,Hydropower,5.3636363636312252,-7118.9636363535419
CT,Natural Gas,3327.0424242423269,-6493757.0424240511
CT,Nuclear Energy,3814.3090909089597,-7485193.9090906493
CT,Petroleum,16663.769696969117,-32322427.769695833
CT,Solar,0.0,0.0
CT,Total Consumption,21229.430303029661,-41102993.830301762
CT,Wood and Waste,244.13939393938534,-465874.73939392244
CT,Wind,0.0,0.0
