State,Source,coef,intercept
State,MSN,1.0000000000000056,-1.1510289372726903e-11
AK,Biomass,-15.142519534973106,34734.948389557416
AK,Coal,56.692624356774367,-100088.5834699175
AK,Ethenol,28.425805222032064,-56132.176888381524
AK,Geothermal,3.1440823327616196,-6202.8491836605881
AK,Hydropower,257.96325519344668,-504039.78421955981
AK,Natural Gas,9252.7514008005437,-18146516.157690283
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,5191.7568134172352,-10123261.428371856
AK,Solar,0.067429007051649351,-133.15142621180519
AK,Total Consumption,14715.574804650405,-28782844.997586183
AK,Wood and Waste,-43.570649895179351,90871.725646403458
AK,Wind,4.1054316752430253,-8116.73631916657
AL,Biomass,3409.3087859729703,-6642033.3848167891
AL,Coal,6157.6258814560824,-11550955.2024014
AL,Ethenol,204.88439108062016,-404541.3614001706
AL,Geothermal,2.3816275967219691,-4701.5847023696742
AL,Hydropower,131.07703449589431,-167407.30680387196
AL,Natural Gas,5346.5303602058793,-10304678.19017861
AL,Nuclear Energy,8562.9100819516825,-16818163.54446369
AL,Petroleum,6042.4319039451457,-11541913.884594442
AL,Solar,2.9966457023061102,-5898.4107617051632
AL,Total Consumption,33064.568972746572,-63677780.690287016
AL,Wood and Waste,3204.4222603392718,-6237487.8201639652
AL,Wind,0.0,0.0
AR,Biomass,1303.1066895368929,-2526028.4758020756
AR,Coal,7239.8386125405768,-14234574.440848898
AR,Ethenol,107.37282256527685,-212202.7786925892
AR,Geothermal,12.331618067467295,-24342.500031764524
AR,Hydropower,329.00015246807709,-626073.85843339108
AR,Natural Gas,-586.36329331048944,1421761.9599390654
AR,Nuclear Energy,3720.4170383076435,-7303993.0577092478
AR,Petroleum,2754.3786544692216,-5175449.2341401475
AR,Solar,12.254583571564785,-24026.045079728268
AR,Total Consumption,16088.069792262366,-31018752.253440313
AR,Wood and Waste,1195.732914046135,-2313823.8226415366
AR,Wind,0.0,0.0
AZ,Biomass,437.22279397751589,-854489.04319929867
AZ,Coal,10358.776329331145,-20321675.641179293
AZ,Ethenol,298.21856298837878,-589087.69389493333
AZ,Geothermal,8.2134171907757807,-16187.231027253871
AZ,Hydropower,523.3248332380349,-962746.68863476394
AZ,Natural Gas,2969.7780064799272,-5695567.565427932
AZ,Nuclear Energy,8344.8399466362753,-16436081.294733703
AZ,Petroleum,8464.369773203809,-16456165.350765664
AZ,Solar,214.05683247570244,-422468.02734261262
AZ,Total Consumption,31755.695254431419,-62015726.122928023
AZ,Wood and Waste,110.90234419668374,-209872.4882281938
AZ,Wind,25.99241471316968,-51385.098494378253
CA,Biomass,3134.3656946826986,-6060025.6747094039
CA,Coal,238.80110539355368,-412363.45141985023
CA,Ethenol,1787.080541261698,-3529372.8655867348
CA,Geothermal,3249.7102725367172,-6374980.0304682646
CA,Hydropower,707.58677339427754,-1064666.4031255106
CA,Natural Gas,13999.562721555136,-25733961.087110031
CA,Nuclear Energy,8407.9842576711362,-16507969.45008594
CA,Petroleum,30103.573089384518,-56682122.386506796
CA,Solar,1084.3118353344892,-2138856.6645956668
CA,Total Consumption,65471.283285687256,-123817999.89516594
CA,Wood and Waste,1255.6313703068395,-2349589.2911886112
CA,Wind,1502.6756241662083,-2964092.5903691361
CO,Biomass,335.99371069182712,-653207.85814116651
CO,Coal,6937.3992376596725,-13516263.455981316
CO,Ethenol,206.94957118353619,-408354.36019313172
CO,Geothermal,16.81978273299049,-33158.924325011547
CO,Hydropower,113.3239946636178,-209704.54132520276
CO,Natural Gas,5648.1561273109091,-10909297.554310532
CO,Nuclear Energy,-16.962340384982383,34744.078063656401
CO,Petroleum,5809.7664951401212,-11189013.068521781
CO,Solar,42.240937678674008,-83463.159735722948
CO,Total Consumption,19692.454850390877,-38140952.430671863
CO,Wood and Waste,39.118658280921466,-67177.992452828272
CO,Wind,559.64867543358855,-1106055.5937488242
CT,Biomass,480.62957880694086,-926503.63978146983
CT,Coal,-1087.1912712025894,2198749.8120957962
CT,Ethenol,192.34442538593765,-379947.46028842451
CT,Geothermal,0.28801219744616374,-568.91400800458234
CT,Hydropower,21.112940728035568,-37789.893793279705
CT,Natural Gas,3560.8122736802334,-6964787.6187028224
CT,Nuclear Energy,3228.5991233085742,-6292823.7880821135
CT,Petroleum,-2193.4302267963362,4800428.0714568486
CT,Solar,28.144044215742703,-55589.42161235067
CT,Total Consumption,4519.5900895749846,-8205381.1944221919
CT,Wood and Waste,288.28118925100131,-546548.34170637361
CT,Wind,0.0,0.0
DC,Biomass,19.083666857251817,-36848.03754526408
DC,Coal,-490.99279588336367,982272.8927260061
DC,Ethenol,10.880160091481009,-21499.234318023333
DC,Geothermal,0.20815704211930894,-411.48544565148887
DC,Hydropower,-0.66575185820469129,1329.9234737310273
DC,Natural Gas,314.74118543929882,-596642.16117146355
DC,Nuclear Energy,0.0,0.0
DC,Petroleum,-1613.5522012578904,3259570.0033543562
DC,Solar,1.6554983800266996,-3272.6475319230394
DC,Total Consumption,765.74290070515826,-1346776.7352137601
DC,Wood and Waste,8.2058700209642481,-15353.497833682519
DC,Wind,0.0,0.0
DE,Biomass,-71.940003811703065,147423.78053491111
DE,Coal,339.44326281684687,-632202.85640048154
DE,Ethenol,48.609719839909268,-96050.578832350147
DE,Geothermal,6.4101772441395966,-12654.2059843722
DE,Hydropower,-0.0042309891366496032,8.4604154755099934
DE,Natural Gas,1094.6282828282908,-2135973.1764309932
DE,Nuclear Energy,0.0,0.0
DE,Petroleum,-701.8218791690673,1532900.1814878713
DE,Solar,4.9239946636173517,-9729.978362238835
DE,Total Consumption,599.98856489421155,-963375.24712531467
DE,Wood and Waste,-120.54823708786159,243471.42482688895
DE,Wind,0.28747855917667564,-568.29838002668862
FL,Biomass,4144.8633123690142,-8111994.0255766036
FL,Coal,15362.416123499286,-30103925.277479488
FL,Ethenol,681.51526586621912,-1346514.1682358375
FL,Geothermal,152.7775871926836,-301586.45473604387
FL,Hydropower,-20.071050123880465,42225.252182199671
FL,Natural Gas,17125.81181627616,-33534082.710069634
FL,Nuclear Energy,7037.175566990727,-13795535.949012266
FL,Petroleum,21364.536039641796,-40977969.453859553
FL,Solar,911.97552887365271,-1797254.5732926968
FL,Total Consumption,70224.34709357789,-136692114.94583693
FL,Wood and Waste,3463.346902992218,-6765477.5857570069
FL,Wind,0.0,0.0
GA,Biomass,3335.8235944349508,-6488011.1999746608
GA,Coal,14389.574042310011,-28053222.335048847
GA,Ethenol,397.15300171527167,-784873.382351832
GA,Geothermal,4.9827711072994774,-9835.8118416874531
GA,Hydropower,-50.594663617310381,136209.76223875003
GA,Natural Gas,5224.2303411473549,-10029617.924541071
GA,Nuclear Energy,8935.5717934058594,-17580534.663897038
GA,Petroleum,13873.442195540396,-26792473.847366929
GA,Solar,11.150257289880061,-22007.893513754152
GA,Total Consumption,49013.371831523189,-95235341.032209739
GA,Wood and Waste,2892.0384981894704,-5610973.7359126434
GA,Wind,0.0,0.0
HI,Biomass,317.78402896893675,-621596.26984308951
HI,Coal,474.20933866972234,-934719.51793407032
HI,Ethenol,40.619592147894664,-80263.949431422399
HI,Geothermal,56.78845054316826,-111959.68292992971
HI,Hydropower,4.2761196874403105,-7590.9191665075869
HI,Natural Gas,73.911149228131094,-145041.59053427511
HI,Nuclear Energy,0.0,0.0
HI,Petroleum,2474.9214027063067,-4693299.5331427464
HI,Solar,77.27619592147984,-152532.55208690863
HI,Total Consumption,3839.1348961311342,-7371667.6933867214
HI,Wood and Waste,277.15727082142325,-541318.15922749822
HI,Wind,42.191347436631041,-83345.519090275004
IA,Biomass,3501.766037735893,-6890368.6784067973
IA,Coal,8159.8910615590776,-15924110.593787109
IA,Ethenol,224.35616542786622,-441914.93002986378
IA,Geothermal,19.877301315037442,-39245.573877136703
IA,Hydropower,-7.2710120068609596,23577.217203481148
IA,Natural Gas,-28.602744425410393,322964.33328255918
IA,Nuclear Energy,1146.1794168096171,-2249266.4300108235
IA,Petroleum,2035.8294644558898,-3681823.1200305149
IA,Solar,0.93882218410521356,-1854.0443427990813
IA,Total Consumption,16852.257632933259,-32414713.954488594
IA,Wood and Waste,543.32692967410253,-1050624.6495013088
IA,Wind,1255.9661902039425,-2482047.4849882801
ID,Biomass,501.81597103107106,-976361.53756433388
ID,Coal,-130.08423861254067,269301.93259640475
ID,Ethenol,48.412197446160341,-95617.719115686443
ID,Geothermal,42.588755479322103,-84027.303500414113
ID,Hydropower,659.00720411664076,-1214869.5517184478
ID,Natural Gas,1097.0626643796531,-2122320.1124198115
ID,Nuclear Energy,0.0,0.0
ID,Petroleum,1541.8487135506102,-2937490.6731719919
ID,Solar,0.58582046883934424,-1157.4175465345427
ID,Total Consumption,4311.8527920716933,-8235548.0529319039
ID,Wood and Waste,423.04837049743173,-820832.92132648174
ID,Wind,127.56733371450483,-252172.74916460467
IL,Biomass,2081.4693729750525,-4047546.7797853141
IL,Coal,2082.6772250810427,-3224741.3631790495
IL,Ethenol,841.95841433201008,-1659827.8530335014
IL,Geothermal,30.537221269297156,-60281.486347755119
IL,Hydropower,-10.415742328949879,22133.112877199677
IL,Natural Gas,2161.0631217837481,-3287568.7617937881
IL,Nuclear Energy,23269.725862397809,-45707289.425653249
IL,Petroleum,-2664.7036782924724,6589626.2458168864
IL,Solar,31.129750333524335,-61495.30459310166
IL,Total Consumption,28389.978349533139,-52502685.398755014
IL,Wood and Waste,-54.738974652190457,162337.3249984282
IL,Wind,621.27577663427485,-1228031.1080617651
IN,Biomass,1171.5928340003939,-2278310.6091862279
IN,Coal,13666.503678292458,-25934970.927298348
IN,Ethenol,426.42668191347991,-840876.23325075768
IN,Geothermal,70.1545263960368,-138495.41113017159
IN,Hydropower,41.67005908137952,-78572.016809604902
IN,Natural Gas,4416.6347627215346,-8286777.5672574416
IN,Nuclear Energy,0.0,0.0
IN,Petroleum,3211.3342862588102,-5604541.9485420175
IN,Solar,4.2604154755098662,-8415.7968235818316
IN,Total Consumption,23433.886373165718,-43977355.780293703
IN,Wood and Waste,160.5874976176849,-283124.82327679038
IN,Wind,264.72163140842713,-523270.4467187667
KS,Biomass,546.98056032018985,-1073134.2349279094
KS,Coal,8550.3365732800594,-16776856.01022825
KS,Ethenol,120.55121021536294,-237937.77538911486
KS,Geothermal,15.561463693539379,-30722.977256845614
KS,Hydropower,0.405870020964407,-699.59412997912796
KS,Natural Gas,-4665.0824089957105,9657174.4462107196
KS,Nuclear Energy,2559.5943586811813,-5037248.7120386865
KS,Petroleum,2345.2853058890837,-4296514.1860745912
KS,Solar,0.98806937297504416,-1946.6516612667779
KS,Total Consumption,10095.672803506815,-19018359.394536659
KS,Wood and Waste,85.798932723461107,-162602.00578108145
KS,Wind,535.25286830570508,-1057871.6932596539
KY,Biomass,292.86819134743945,-552198.31025983673
KY,Coal,13989.629121402806,-27059691.323740758
KY,Ethenol,256.1364589289152,-505325.44603266061
KY,Geothermal,41.15616542786411,-81253.167066896523
KY,Hydropower,-27.668534400612121,87020.284327556714
KY,Natural Gas,848.96577091670918,-1474232.3742964135
KY,Nuclear Energy,0.0,0.0
KY,Petroleum,8584.3719458738888,-16569114.57418219
KY,Solar,1.5654659805603404,-3092.9833555683017
KY,Total Consumption,23992.873908900481,-46143750.112623416
KY,Wood and Waste,5.849323422907279,14137.781983357643
KY,Wind,0.0,0.0
LA,Biomass,2399.7166761959461,-4677222.6772632506
LA,Coal,6661.1965313513238,-13103581.076196073
LA,Ethenol,190.50966266438215,-376303.20414205454
LA,Geothermal,28.468953687822005,-56207.483908265844
LA,Hydropower,252.76611396989077,-498082.71873452154
LA,Natural Gas,-1128.7151133983634,3835802.3320251084
LA,Nuclear Energy,4665.735696588582,-9186038.7020139601
LA,Petroleum,28413.463655422318,-54934177.82927423
LA,Solar,5.8996760053364401,-11649.669347563806
LA,Total Consumption,43697.388679245407,-83306680.463172868
LA,Wood and Waste,2208.3468267581698,-4299219.4343180684
LA,Wind,0.0,0.0
MA,Biomass,62.778692586236168,-69310.33578552118
MA,Coal,505.94777968365275,-921151.93100824323
MA,Ethenol,309.52635791881545,-611610.07296868996
MA,Geothermal,13.588755479321707,-26830.044241154057
MA,Hydropower,84.956660949116014,-161010.74030875234
MA,Natural Gas,7561.6150181056601,-14760541.751985418
MA,Nuclear Energy,946.71240708976802,-1841187.6781653059
MA,Petroleum,-9461.9172479514073,19654075.001944363
MA,Solar,35.664608347627535,-70470.170408488033
MA,Total Consumption,-180.60720411673719,1719894.0628297499
MA,Wood and Waste,-246.74476843911623,542294.01954134158
MA,Wind,7.2645321135887801,-14362.233784384856
MD,Biomass,266.79656946826867,-495950.64450797514
MD,Coal,244.47181246425453,-210700.69990468631
MD,Ethenol,289.59336763865497,-572215.44703641045
MD,Geothermal,8.4878216123500323,-16755.72429960001
MD,Hydropower,67.310043834572014,-115847.34652182176
MD,Natural Gas,2218.3885648942314,-4237756.6619401695
MD,Nuclear Energy,3380.4915570802696,-6627173.8855473641
