State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AK,Biomass,3681,4145,4246,4383,4728,4863,5035,4671,4705,4893,5029,5287,5079,4871,4922,4894,5224,6106,5920,5986,2723,3046,2875,3348,3917,3967,2259,2923,3103,9188,8169,7954,8753,7067,9659,8941,8774,4308,2233,2168,2069,3438,3529,3485,3765,1925,1862,2151,2949,4497,4178,4243,4029,5171
AK,Coal,7189,11552,13559,11999,12029,9888,16431,18462,15998,13191,13159,14121,12753,13286,12485,15271,13706,10259,4689,4182,4310,12521,13182,12403,12883,11587,12150,4330,4362,4719,12387,12675,12509,13630,12578,12882,11152,11719,16471,16394,16455,15911,16429,12552,14075,13994,14981,13662,14705,14505,14548,15481,15521,14819
AK,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,3,636,728,589,347,392,171,465,335,224,441,792,797,974,1717,1954,1916,1925,1882,1833
AK,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,86,86,86,86,89,88,90,87,87,130,151,153,214,186,186
AK,Hydropower,3120,3168,3207,3410,3374,3655,3293,3786,3781,3562,3806,3807,3594,2973,3407,3713,3978,5343,4889,4747,5599,6171,5870,6243,7235,7816,8448,9080,9658,9102,10137,9352,9495,13433,13879,14149,13089,11224,11353,8351,10220,13905,14643,16023,15004,14638,12137,12762,11547,12920,13982,13066,14988,13696
AK,Natural Gas,2034,2300,4048,5567,6805,7670,12282,11889,17636,42940,64045,68045,75032,63703,63188,85175,90571,116859,145025,157236,153805,122214,237881,239678,258039,214042,208311,251512,288798,321207,326826,367952,383887,375971,367592,432813,443629,425394,434437,422817,437972,413049,420807,415891,407944,434704,375719,372186,343938,343971,334978,339819,347228,332962
AK,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Petroleum,45411,51009,53752,55429,58130,61705,65658,76363,80412,92048,96004,109708,117926,112137,117493,123133,141196,154964,163533,127631,129321,135721,149264,175964,200824,237028,273092,231373,215483,231926,226510,204675,212539,213546,219398,235966,242823,256711,259108,275974,275502,289882,277811,285679,334599,333131,342314,323194,278859,255911,275105,268264,255107,242582
AK,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,4,5,7,10
AK,Total Consumption,65116,72174,78813,80788,85067,87781,102698,115172,122532,156633,182043,200968,214384,196970,201495,232186,254674,293532,324057,299782,295757,279672,409072,437637,482898,474439,504260,499218,521404,576194,584083,602660,627237,623702,623159,704170,718796,708823,723309,725402,742138,735820,732972,733500,775038,797700,746316,723083,650420,630076,641160,639290,635543,608982
AK,Wood and Waste,3681,4145,4246,4383,4728,4863,5035,4671,4705,4893,5029,5287,5079,4871,4922,4894,5224,6106,5920,5986,2723,3046,2875,3348,3917,3967,2258,2920,3102,9188,8169,7954,8753,7067,9656,8305,8046,3719,1886,1775,1898,2973,3193,3261,3324,1133,1065,1177,1233,2543,2262,2318,2146,3338
AK,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,8,10,1,69,123,121,356,1386
AL,Biomass,45681,46171,45959,45764,46341,47641,49102,49050,52920,53345,52378,54068,58735,59084,58463,57615,62883,66705,66560,67874,141033,150242,153364,164722,175397,176696,160935,155656,161022,166994,145304,144773,151327,176217,215932,223971,208971,182204,209467,210694,203782,166309,163647,156338,186662,178199,194227,187593,176472,151086,169088,179440,181704,194353
AL,Coal,395400,382455,427177,442465,459000,533142,583457,580163,618335,641466,675603,626054,669734,688650,653405,640063,632096,629412,577580,670208,661023,629957,511059,532596,584607,662890,660525,660678,652717,682145,682496,723921,775653,812948,773804,828277,890742,867264,856479,866512,904181,842337,845999,873735,853917,890098,886678,888436,842826,630969,718684,651032,547004,565051
AL,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,239,271,1278,1968,3939,3509,1962,1620,1612,2586,1367,1469,2015,349,345,284,37,0,1294,881,1272,2519,165,152,474,3740,9132,23231,21956,21235,21924
AL,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,14,15,16,14,15,16,17,18,62,62,65,67,62,68,78,85,98,117,126,138,135,141,141
AL,Hydropower,67128,71851,79605,66918,91651,74247,72135,95334,76753,78511,80092,104114,106211,122622,108270,127086,98111,108046,81781,122863,97733,63113,112184,117458,112730,71935,54848,77855,55575,137211,107832,112268,106109,93134,117903,97980,114587,117660,107730,79350,59346,86346,89775,128232,106432,101436,71930,40881,60466,122345,84919,86313,70754,123071
AL,Natural Gas,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278394,281046,253487,230003,239653,227795,210229,214613,243209,253593,252457,261816,288123,302672,299322,332400,337782,337453,341976,349080,368472,344023,390081,361161,392230,363436,402054,432591,420525,474434,550874,615377,681966,628511
AL,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,70195,29978,46557,210228,249788,240321,256310,260780,306734,274203,262518,152028,122308,117450,137623,121962,127533,166430,203111,187216,214054,218045,312018,310336,300698,322826,327143,317019,332650,330137,329898,330761,332992,360036,407551,415392,396557,411822,427975,426488
AL,Petroleum,236266,232625,239730,252175,257078,262263,272839,277389,306623,337392,352170,365107,405288,450714,476384,487977,533051,573751,577978,491593,450546,444631,440534,415690,415641,410154,425403,460829,463817,488004,483003,486653,492128,500373,528267,539299,539973,525885,519583,537208,560633,537085,564117,563460,612913,607467,611905,602699,572918,538180,556139,554871,545992,529970
AL,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,141,151,151,151,156,154,151,143,139,133,119,104,89,75,61,62,74,77,83,86,104,122,129,147
AL,Total Consumption,980862,970806,1039680,1064434,1130727,1201883,1267390,1313041,1404241,1474881,1520371,1498249,1585803,1663537,1707634,1672081,1668339,1903562,1865216,1952218,2026072,1980011,1930726,1899394,1965943,1878194,1795183,1842738,1874984,2017050,1944082,2040800,2167945,2248944,2365384,2464112,2613211,2523166,2545557,2576558,2627520,2459597,2550072,2569538,2668843,2649735,2694172,2700004,2657430,2483704,2645591,2678552,2637369,2662085
AL,Wood and Waste,45681,46171,45959,45764,46341,47641,49102,49050,52920,53345,52378,54068,58735,59084,58463,57615,62883,66705,66560,67874,141033,150242,153269,164483,175126,175418,158967,151718,157512,165031,143683,143162,148742,174850,214463,221956,208622,181859,209183,210656,203782,165015,162766,155066,184143,178033,194075,187119,172732,141954,145857,157484,160469,172429
AL,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Biomass,37433,36290,36441,36729,36860,35134,35169,33309,33739,34698,34264,34682,36857,37551,36739,35870,41325,51062,52002,45832,52390,55336,55633,60540,63217,62928,61844,61608,63792,86235,71100,71732,76481,85912,82506,82964,87771,86884,81960,82147,83466,66816,72938,80378,75878,81287,84205,88493,79111,88519,94865,97220,96310,95568
AR,Coal,356,275,160,135,186,163,111,104,132,0,0,51,50,2262,2665,862,3578,5244,22833,31728,36648,101935,125193,177458,163879,219791,224547,211011,218821,203343,212707,215945,220706,200450,222169,237334,260060,246786,254658,267022,267579,273982,255242,253653,270210,247169,256907,275037,278849,264083,293689,306119,296732,327099
AR,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,70,102,224,65,0,0,0,0,508,320,226,157,28,32,2,0,0,0,0,0,0,0,0,96,90,287,2305,5996,12821,12056,11707,11889
AR,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,108,117,126,133,123,131,138,147,152,192,192,212,228,282,306,349,401,482,572,702,773,750,808,808
