State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AL,3443000,3464000,3458000,3446000,3440000,3444000,3444165,3497076,3539400,3579780,3626499,3678814,3780403,3831836,3866248,3893888,3893888,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4040587,4048508,4091025,4139269,4232965,4262731,4290403,4320281,4351037,4369862,4447100,4452375,4466618,4477571,4495089,4500752,4517442,4548327,4599030,4708708,4779736,4801627,4817528,4833722
AK,271000,271000,278000,285000,296000,302000,300382,315510,324464,330543,341063,376170,403436,404766,402753,401851,401851,418491,449606,488417,513702,532495,544268,539309,541983,547159,550043,553120,569273,587073,600624,601345,604918,608846,615205,619500,626932,627533,632241,640544,647747,648818,656834,663253,670053,698473,710231,723375,730307,735132
AZ,1584000,1614000,1646000,1682000,1737000,1772000,1770900,1895814,2008291,2124438,2223196,2284847,2425197,2515316,2635571,2718215,2718215,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3665228,3679056,3762394,3867333,4147561,4306908,4432308,4552207,4667277,4778332,5130632,5166693,5300366,5445333,5582252,5580811,5745674,5953007,6166318,6595778,6392017,6468796,6551149,6626624
AR,1894000,1899000,1901000,1902000,1913000,1923000,1923295,1972312,2018638,2059256,2101403,2159526,2209010,2243127,2271333,2286435,2286435,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2350725,2354343,2370666,2394098,2450605,2480121,2504858,2524007,2538202,2551373,2673400,2678610,2691665,2706198,2723645,2725714,2746823,2775708,2810872,2889450,2915918,2938506,2949828,2959373
CA,18585000,18858000,19176000,19394000,19711000,19953000,19953134,20345939,20585469,20868728,21173865,21537849,22352396,22835958,23256880,23667902,23667902,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29760021,29950111,30414114,30875920,31317179,31493525,31780829,32217708,32682794,33145121,33871648,34008499,34550466,35024517,35466365,35484453,35841254,36154147,36457549,36961664,37253956,37668681,37999878,38332521
CO,1985000,2007000,2053000,2120000,2166000,2207000,2207259,2303524,2404619,2495868,2541406,2586192,2696140,2766748,2849234,2889964,2889964,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3294394,3303862,3367567,3459995,3653910,3738061,3812716,3891293,3968967,4056133,4301261,4327409,4428562,4500122,4545957,4550688,4598507,4663295,4753377,5024748,5029196,5118400,5189458,5268367
CT,2857000,2903000,2935000,2964000,3000000,3032000,3031709,3060938,3068699,3067814,3074047,3082500,3085722,3091627,3095917,3107576,3107576,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3287116,3289056,3288640,3274997,3268346,3265293,3267030,3268514,3272563,3282031,3405565,3412539,3433201,3457927,3482326,3483372,3493893,3500701,3504809,3518288,3574097,3588948,3591765,3596080
DE,507000,516000,525000,534000,540000,548000,548104,564708,572913,577759,581418,586589,591829,594776,594984,594338,594338,595975,599148,605458,611565,618280,627559,636947,647622,658273,666168,669063,680495,690158,708416,718265,727090,735024,744066,753538,783600,786505,795450,805591,816861,817491,828762,841741,853476,885122,897934,907985,917053,925749
DC,797000,791000,791000,778000,762000,757000,752000,749781,742241,731488,717947,706871,677228,665052,650016,638333,9746324,636893,634174,632433,633382,634549,638269,636930,630432,624168,606900,603814,593239,584183,564982,551273,538273,528752,521426,519000,572059,571042,577357,578907,577476,563384,579720,582049,581530,599657,601723,619624,633427,646449
FL,5954000,6104000,6242000,6433000,6641000,6789000,6789443,7158304,7511463,7913696,8298762,8518422,8856183,9102032,9426159,9746324,5463105,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,12937926,13018365,13289497,13504775,13961798,14185403,14426911,14683350,14908230,15111244,15982378,16050166,16354728,16682250,16981800,17019068,17366593,17768191,18089888,18537969,18801310,19083482,19320749,19552860
