State,Source,coef,intercept
State,MSN,1.0000000000000395,-8.0386290029952013e-11
AK,Biomass,29.272727272731085,-55710.181818189463
AK,Coal,-197.70303030303461,411022.62424243288
AK,Ethenol,182.2787878787766,-364590.83030300785
AK,Geothermal,5.4181818181814148,-10762.745454544649
AK,Hydropower,-82.636363636329847,179024.49090902315
AK,Natural Gas,-10100.890909090476,20643853.927271862
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,859.83030303056671,-1423841.6424247716
AK,Solar,0.34545454545451881,-691.76363636358292
AK,Total Consumption,-9664.8060606053441,20099810.048483413
AK,Wood and Waste,-152.93333333331833,308734.86666663666
AK,Wind,3.8666666666664389,-7740.3333333328765
AL,Biomass,-1079.9333333334321,2341157.8666668646
AL,Coal,-13141.151515150745,27187355.81211967
AL,Ethenol,554.91515151511805,-1110364.5212120542
AL,Geothermal,7.115151515151072,-14179.521212120328
AL,Hydropower,-197.21818181790883,482042.74545399827
AL,Natural Gas,10882.466666666005,-21419003.733332008
AL,Nuclear Energy,9541.3515151508418,-18777281.212119862
AL,Petroleum,2312.4424242424743,-4058153.1393940398
AL,Solar,-3.0666666666667379,6230.133333333476
AL,Total Consumption,7242.0666666662,-11910661.133332398
AL,Wood and Waste,-1634.8545454546099,3451534.436363766
AL,Wind,0.0,0.0
AR,Biomass,1370.9515151514022,-2667963.2121209865
AR,Coal,535.15757575750604,-808452.26060592115
AR,Ethenol,435.75757575754392,-872598.66060599673
AR,Geothermal,53.212121212118355,-106291.09696969125
AR,Hydropower,1411.1151515150295,-2797192.9212118774
AR,Natural Gas,-958.22424242426587,2158931.793939441
AR,Nuclear Energy,2071.5515151516443,-4001115.2121214718
AR,Petroleum,-738.92727272720015,1837621.2181816727
AR,Solar,-88.412121212118606,177540.49696969171
AR,Total Consumption,5027.3454545452269,-8874823.7636359073
AR,Wood and Waste,935.16363636355834,-1795303.9090907529
AR,Wind,0.0,0.0
AZ,Biomass,2899.3151515149548,-5792063.9212117251
AZ,Coal,1858.0545454543308,-3297850.0363632059
AZ,Ethenol,2500.5999999998521,-5003433.5999997044
AZ,Geothermal,7.0545454545447246,-13848.436363634901
AZ,Hydropower,-1948.527272727237,3977046.8181817466
AZ,Natural Gas,22173.327272726496,-44124062.818180278
AZ,Nuclear Energy,-1802.7030303031809,3909251.0242427262
AZ,Petroleum,5732.3151515151758,-10940101.321212171
AZ,Solar,89.151515151506004,-175310.01212119381
AZ,Total Consumption,31582.993939392501,-61599656.15151228
AZ,Wood and Waste,58.696969696944002,-107823.77575752426
AZ,Wind,15.709090909089809,-31460.07272727053
CA,Biomass,8545.3878787875983,-16922352.503029741
CA,Coal,-1323.7696969696112,2719758.9575755862
CA,Ethenol,10116.375757575423,-20223483.006059937
CA,Geothermal,-180.48484848480618,492416.47878779407
CA,Hydropower,-6709.1212121207018,13781921.369695947
CA,Natural Gas,-672.87878787900786,3756803.8303034706
CA,Nuclear Energy,-2003.6909090908857,4368099.1272726813
CA,Petroleum,9440.9272727276584,-15228518.618182592
CA,Solar,1470.8848484847451,-2922268.4787876718
CA,Total Consumption,19124.351515151724,-30865824.812121637
CA,Wood and Waste,-2088.618181818103,4336897.3454543883
CA,Wind,2529.3393939392745,-5025099.3151512761
CO,Biomass,1249.0909090908076,-2486894.3272725237
CO,Coal,-2749.1515151512508,5897472.212120682
CO,Ethenol,117.27878787878447,-229036.03030302352
CO,Geothermal,14.333333333332211,-28124.466666664423
CO,Hydropower,641.24242424237957,-1269886.3393938502
CO,Natural Gas,13146.460606060284,-25881043.484847844
CO,Nuclear Energy,0.0,0.0
CO,Petroleum,6499.6969696968526,-12547611.975757344
CO,Solar,96.175757575750481,-192363.40606059181
CO,Total Consumption,22783.430303029672,-44272779.642422989
CO,Wood and Waste,252.20606060601361,-497009.44848475431
CO,Wind,3516.096969696735,-7038282.3757571056
CT,Biomass,-223.62424242432766,479441.39393956482
CT,Coal,-92.272727272669457,224503.98181806595
CT,Ethenol,1519.0787878787289,-3038696.4303029128
CT,Geothermal,1.2606060606059888,-2518.0848484847052
CT,Hydropower,85.957575757567369,-167671.26060604374
CT,Natural Gas,2653.6121212119397,-5148418.0969693325
CT,Nuclear Energy,729.21818181815115,-1294666.345454484
CT,Petroleum,-7903.8666666660929,16250448.333332183
CT,Solar,120.64848484847833,-241152.58787877485
CT,Total Consumption,-4852.7696969694889,10579566.35757534
CT,Wood and Waste,-1742.7818181818441,3518295.4545455077
CT,Wind,0.0,0.0
DC,Biomass,-69.799999999998363,140680.79999999673
DC,Coal,3.8181818181819409,-7244.1454545457018
DC,Ethenol,84.066666666662542,-168259.53333332506
DC,Geothermal,0.0,0.0
DC,Hydropower,0.0,0.0
DC,Natural Gas,28.836363636343695,-24808.890909050951
DC,Nuclear Energy,0.0,0.0
DC,Petroleum,-1916.3151515150635,3868676.7212119456
DC,Solar,1.3999999999999129,-2801.7999999998265
DC,Total Consumption,-211.35757575758743,614839.66060608393
DC,Wood and Waste,-153.8666666666609,308940.33333332185
DC,Wind,0.0,0.0
DE,Biomass,543.64242424238546,-1086887.3393938618
DE,Coal,972.89090909084712,-1899997.5272726032
DE,Ethenol,445.21818181815905,-891143.74545449985
DE,Geothermal,28.836363636362108,-57614.290909087838
DE,Hydropower,0.0,0.0
DE,Natural Gas,-188.55151515152335,427778.01212122868
DE,Nuclear Energy,0.0,0.0
DE,Petroleum,-3666.4545454542781,7475337.2363631008
DE,Solar,6.2424242424237466,-12486.939393938401
DE,Total Consumption,-1759.7333333332183,3759205.4666664368
DE,Wood and Waste,98.442424242408435,-195779.9393939077
DE,Wind,0.0,0.0
FL,Biomass,8450.9636363629452,-16772025.709089525
FL,Coal,-11777.139393938831,24306567.115150388
FL,Ethenol,5616.9939393935292,-11246654.951514332
FL,Geothermal,661.14545454542088,-1320733.1636362963
FL,Hydropower,61.854545454550149,-122000.4363636458
FL,Natural Gas,55752.060606058134,-110950618.08484352
FL,Nuclear Energy,-2918.727272727157,6174848.0181815876
FL,Petroleum,-18901.472727270677,39817587.581814073
FL,Solar,86.139393939372269,-144535.91515147171
FL,Total Consumption,39865.678787877543,-75782717.630300552
FL,Wood and Waste,2833.8606060603324,-5525152.0848479364
FL,Wind,0.0,0.0
GA,Biomass,-2156.33939393939,4511963.1151515078
GA,Coal,5196.6606060604299,-9577655.4848481324
GA,Ethenol,3250.7878787876421,-6508978.9030298293
GA,Geothermal,19.3090909090899,-38546.072727270708
GA,Hydropower,-332.79393939386244,697036.75151499745
GA,Natural Gas,8852.5939393932258,-17324750.551513724
GA,Nuclear Energy,-1134.3030303028645,2611789.2242420921
GA,Petroleum,1968.5333333335723,-2902848.6666671457
GA,Solar,12.606060606059918,-24988.848484847109
GA,Total Consumption,9908.8666666663048,-16812987.333332609
GA,Wood and Waste,-5768.187878787613,11743992.103029773
GA,Wind,0.0,0.0
HI,Biomass,80.115151515104642,-150349.32121202728
HI,Coal,205.41212121211373,-393332.49696968205
HI,Ethenol,417.53333333330625,-835837.46666661242
HI,Geothermal,3.1030303030262272,-4209.4242424160748
HI,Hydropower,-3.0181818181815565,7041.5454545449311
HI,Natural Gas,-16.048484848483977,35054.987878786131
HI,Nuclear Energy,0.0,0.0
HI,Petroleum,2348.6787878789714,-4441473.830303398
HI,Solar,126.53333333332492,-251987.46666664982
HI,Total Consumption,3133.4787878788457,-5967336.8303031465
HI,Wood and Waste,-337.51515151517088,685682.32121215994
HI,Wind,308.68484848482848,-617925.67878783867
IA,Biomass,14745.599999999115,-29450054.999998227
IA,Coal,2144.0848484846833,-3849910.678787549
IA,Ethenol,-246.67272727271879,501311.38181816478
IA,Geothermal,79.121212121208302,-157985.96969696204
IA,Hydropower,1.9575757575722079,5147.9393939465053
IA,Natural Gas,11342.521212120402,-22478964.769695345
IA,Nuclear Energy,947.26060606053591,-1850836.8848483444
IA,Petroleum,3475.8787878785884,-6552247.2303026309
IA,Solar,3.4181818181815955,-6836.5454545450084
IA,Total Consumption,37661.696969694502,-74151056.375752643
IA,Wood and Waste,-816.24848484846689,1663878.7878787525
IA,Wind,5984.7757575753949,-11974557.40605988
ID,Biomass,1016.1272727271994,-2007212.8181816714
ID,Coal,-447.72121212120612,907925.36969695764
ID,Ethenol,331.80606060603964,-664183.04848480655
ID,Geothermal,83.193939393933618,-165153.75151514
ID,Hydropower,692.69696969680001,-1295986.375757236
ID,Natural Gas,1503.1757575756662,-2933264.2060604235
ID,Nuclear Energy,0.0,0.0
ID,Petroleum,-357.71515151521646,874783.72121225134
ID,Solar,3.2969696969695104,-6597.5757575753842
ID,Total Consumption,3772.3333333328487,-7159816.8666656967
ID,Wood and Waste,611.71515151510607,-1197950.9212120303
ID,Wind,335.75757575755722,-672177.26060602348
IL,Biomass,3531.8969696968302,-6965957.9757572962
IL,Coal,8657.3818181813531,-16316803.054544523
IL,Ethenol,1615.2303030302392,-3205945.8424241147
IL,Geothermal,136.34545454544721,-272409.16363634897
IL,Hydropower,-2.072727272726087,5597.7818181794419
IL,Natural Gas,-7100.0727272729409,15224403.58181861
IL,Nuclear Energy,6534.4727272726595,-12123733.98181805
IL,Petroleum,6131.1757575755528,-10981361.606060198
IL,Solar,147.72727272726505,-295378.01818180282
IL,Total Consumption,20516.98181818052,-36621929.254542857
IL,Wood and Waste,-1858.5393939393173,3762585.7151513617
IL,Wind,2723.4363636361672,-5452926.6909086984
IN,Biomass,4884.4909090905903,-9732365.9272720907
IN,Coal,-12076.096969696084,25763914.9757558
IN,Ethenol,1575.7212121211114,-3144458.5696967682
IN,Geothermal,304.36363636362046,-608009.50909087714
IN,Hydropower,-109.06060606060623,223384.08484848519
IN,Natural Gas,-2987.1515151516633,6528986.4121215101
IN,Nuclear Energy,0.0,0.0
IN,Petroleum,-5508.7757575751993,11892039.606059486
IN,Solar,14.981818181817358,-29947.054545452902
IN,Total Consumption,-13103.836363635581,29328394.290907521
IN,Wood and Waste,-48.963636363618235,130364.90909087275
IN,Wind,846.65454545448449,-1695514.6363635145
KS,Biomass,3037.7090909089106,-6068923.2727269121
KS,Coal,9.40000000010496,356389.79999978957
KS,Ethenol,920.59999999994614,-1841865.3999998923
KS,Geothermal,61.024242424239638,-121827.99393938837
KS,Hydropower,-9.8909090909085187,19960.72727272613
KS,Natural Gas,-1198.8969696971649,2687750.3757579676
KS,Nuclear Energy,-526.23636363626861,1152258.6909089007
KS,Petroleum,1105.5030303030358,-1827431.0242424358
KS,Solar,0.61212121212112081,-1201.2969696967866
KS,Total Consumption,5593.672727272392,-10027216.381817512
KS,Wood and Waste,-365.35151515149579,739266.61212117341
KS,Wind,2559.1999999998552,-5121593.59999971
KY,Biomass,4573.5393939392097,-9133608.1151511446
KY,Coal,908.29696969686881,-834762.77575737378
KY,Ethenol,1958.5515151514157,-3918379.8121210127
